"","process","percentage","Treatment"
"Control.1","variable selection",8.06451612903226,"Control"
"Control.2","homogeneous selection",0,"Control"
"Control.3","dispersal limitation",8.66935483870968,"Control"
"Control.4","homogeneous dispersal",0,"Control"
"Control.5","drift",83.2661290322581,"Control"
"Drought.1","variable selection",2.58064516129032,"Drought"
"Drought.2","homogeneous selection",0,"Drought"
"Drought.3","dispersal limitation",4.73118279569892,"Drought"
"Drought.4","homogeneous dispersal",9.24731182795699,"Drought"
"Drought.5","drift",83.4408602150538,"Drought"
